ID,Type,ITGB2,CD37,PSAP,ACTB,NCF2,RPL36AP37,ICAM3,LILRA2,UQCR11,HBA1
1058,1,4548.677784062803,3660.7363787142153,5863.988878275236,12385.207636635909,6148.334448156759,1518.8224968476966,13265.487035610442,3098.0216039229317,1303.6393045026257,3953464.9327429086
1059,1,124879.23493508872,19113.73574414361,279357.48956629226,608726.4504970387,111664.4561894706,1934.0991638374876,77493.6539171408,27784.135944312493,2188.359118460597,1804154.8980130297
1060,1,5953.106937677158,2044.5279297244504,10306.82031098062,1975.563256274044,5884.256340094893,774.6441687645831,4189.146181978696,2653.532234419344,911.4688602765008,4576418.434807117
1061,1,4214.638702746682,3451.229021719337,2651.509724471905,6023.765330912552,4935.384584715423,1763.1949636474594,15491.497760300424,3311.4369992719994,3002.805261401254,4695783.17327583
1062,1,10463.844887490191,1427.657073010478,17523.270634077515,3686.26883423032,2322.710650212149,614.1256282635685,5090.617220334505,1443.9731538448834,1835.407587405724,6063617.470654259
1063,1,8710.301612616435,721.0007371693428,14585.587505595464,2069.5391529860763,7296.183390431564,319.8725492679862,2688.4934895243086,3379.0342405923443,1010.4977924176944,5961737.078763722
1064,1,4452.411012131909,4776.911555746407,5941.489648819755,10890.53474166116,5652.404139153032,2735.325445255644,15825.578542011586,4776.911555746407,2333.0600759353574,5541143.263704064
1065,1,5370.085876471917,5899.475215685567,5547.208664732185,11662.397667237516,8807.653286618119,1766.3396894518075,21938.487924683777,5408.676875031417,1795.9657021921005,5349756.712348186
1066,1,14367.79047222348,3925.563948581496,23401.965038821992,53738.05529323495,14846.103599339756,1115.6158395328848,26874.68815699755,3864.713461995698,2373.168976846132,6857687.098546036
1067,1,8885.6453443439,6645.630126453103,6617.589493008153,13570.588101453975,12505.044030545883,5168.115225943612,33400.70837654213,7448.023637339359,5129.278948622356,5468536.252745419
1068,1,53237.705241477146,12742.196328186668,112523.93057411312,177844.17810698948,39008.02530506207,1935.5264291708197,22164.37563605846,7527.304964836179,1789.0397393312492,2425765.709580627
1069,1,2054.495369151639,1131.9709893847164,2703.6199760586937,2797.9508918407537,1797.0838871022895,334.5869617917226,7842.2566425593695,2083.2742926105725,1307.8421883004207,4662975.40592497
1070,1,2682.89560705885,1716.1630353033192,4262.917562521174,10812.74345660215,3899.656508137748,944.6816439678236,6826.03520029684,2394.9048612413594,2015.0123412869737,2495801.8430570257
1071,1,8630.335357532987,8103.321171470749,11741.172360022276,20977.30631749908,11718.225443357738,1808.3929595267405,23089.95244508094,6303.518007748768,3863.5264649750434,3495988.240217906
1072,1,2978.353622386859,3287.699530026074,2866.1258047317024,6422.88433349514,5270.390975267182,1404.9915597703111,15606.141335854622,3089.862030954483,1416.847421532856,4056465.649190237
1073,1,113472.51253495972,21829.421715122066,288537.0532865649,538520.4204927752,93050.53378927932,2527.062914586615,45394.252471126936,16581.364862676095,1812.1905834367767,2191016.096481699
1074,1,8231.424002177351,5319.730956069894,6261.303108180364,11445.512401110836,8033.198285943567,3681.678590992296,30471.135736773733,4852.565533403011,2189.898600092719,4090420.553884875
1075,1,4789.584151195232,4017.114180147377,4193.504960937832,8823.5940000007,5415.39971829087,1569.1142648117052,16663.860084100583,4551.693136489331,1371.4687328493733,3435988.9069318664
